,words,polarity_score,count_up,count_down,total
398,재무레버리지/NNG,5.193032714418354,15.0,4.0,19.0
399,이티/NNG,2.1136554206053653,29.0,19.0,48.0
400,이슈기업/NNG,8.308852343069367,18.0,3.0,21.0
401,전약후강/NNG,2.8561679929300947,66.0,32.0,98.0
402,안정/NNG;효과/NNG,2.176127994613406,11.0,7.0,18.0
403,이표채/NNG,1.4779051086411898,254.0,238.0,492.0
404,눈치보/VV,5.143575259995322,26.0,7.0,33.0
405,유가증권/NNG,1.358395478430959,360.0,367.0,727.0
406,유량/NNG,1.6925439958104267,11.0,9.0,20.0
407,긍정적/VAX;영향/NNG;줄/VV,1.6925439958104267,11.0,9.0,20.0
408,플러스알파/NNG,27.696174476897887,20.0,1.0,21.0
409,용일/NNG,1.3848087238448947,11.0,11.0,22.0
410,어쩔/VV,1.303349387148136,16.0,17.0,33.0
411,시장경제/NNG,1.5386763598276605,10.0,9.0,19.0
412,회복/NNG;쉽/VA;않/VX,2.53881599371564,11.0,6.0,17.0
413,유통/NNG,1.8090282976987884,742.0,568.0,1310.0
414,상관계수/NNG,2.709408372740011,45.0,23.0,68.0
415,손익분기점/NNG,1.5978562198210322,15.0,13.0,28.0
416,상용직/NNG,2.1541469037587246,14.0,9.0,23.0
417,고용자수/NNG;감소/NNG,1.6617704686138732,12.0,10.0,22.0
418,배달/NNG,2.130474959761376,20.0,13.0,33.0
419,조달청/NNG,6.924043619224473,15.0,3.0,18.0
420,사업영역/NNG,1.3848087238448945,16.0,16.0,32.0
421,가격/NNG;약세/NNG,1.569449887024214,17.0,15.0,32.0
422,전전/NNG,5.331513586802843,77.0,20.0,97.0
423,중기채/NNG,3.3235409372277465,12.0,5.0,17.0
